product_area,location_country,supplier_name,location_region,onboard_date_v2,sla_end_to_end_exclude_weekend1,wo_adv_std_exclude_weekend,complaince_activation_exclude_weekend,xws_activation_to_idv,xws_idv_to_system_activation
T&S,India,WIPRO LIMITED,APAC,2025-04-30,3,1,2,1,1
T&S,Philippines,ACCENTURE PLC,APAC,2025-05-02,7,1,6,0,6
gTech,United States,VACO,NORTH AMERICA,2025-04-28,3,3,0,0,0
T&S,Philippines,ACCENTURE PLC,APAC,2025-04-28,9,3,6,0,6
Technical Infrastructure,India,HT GLOBAL IT SOLUTIONS HOLDINGS LIMITED,APAC,2025-05-02,4,2,2,0,2
gTech,United States,VACO,NORTH AMERICA,2025-04-28,3,2,1,0,1
Access,United States,SANDCASTLE COMMUNICATIONS LLC,NORTH AMERICA,2025-05-01,8,3,5,0,5
Cloud,El Salvador,TELUS,LATAM,2025-04-30,2,2,0,0,0
Cloud,El Salvador,TELUS,LATAM,2025-05-02,4,4,0,0,0
Ads & Commerce,India,GLOBALLOGIC INC,APAC,2025-05-02,4,3,1,1,0
Waymo,India,WIPRO LIMITED,APAC,2025-04-28,3,2,1,0,1
YouTube,Malaysia,CONCENTRIX,APAC,2025-04-30,5,1,4,0,4
Waymo,United States,TRANSDEV,NORTH AMERICA,2025-05-01,7,2,5,0,5
HUE,Australia,SCALENCE LLC,APAC,2025-04-28,5,2,3,1,2
Geo,India,ACCENTURE PLC,APAC,2025-05-02,6,3,3,2,1
Search,India,GLOBALLOGIC INC,APAC,2025-05-02,3,3,0,0,0
Cloud,Mexico,TATA GROUP,LATAM,2025-04-29,13,5,8,7,1
Technical Infrastructure,United States,"HOLDER CONSTRUCTION GROUP, LLC",NORTH AMERICA,2025-04-30,2,2,0,0,0
Platforms + Ecosystems,United States,BAYONE SOLUTIONS INC.,NORTH AMERICA,2025-05-02,5,3,2,1,1
Technical Infrastructure,null,J E DUNN CONSTRUCTION COMPANY,NORTH AMERICA,2025-04-30,3,3,0,0,0
